project-01-graphql-service-1,2.10%,210.2MiB / 7.654GiB,2.68%
project-01-grpc-service-1,0.00%,657.8MiB / 7.654GiB,8.39%
project-01-rest-service-1,0.05%,101MiB / 7.654GiB,1.29%
project-01-db-1,1.61%,44.44MiB / 7.654GiB,0.57%
project-01-graphql-service-1,0.00%,210.2MiB / 7.654GiB,2.68%
project-01-grpc-service-1,0.00%,657.8MiB / 7.654GiB,8.39%
project-01-rest-service-1,0.07%,101MiB / 7.654GiB,1.29%
project-01-db-1,0.00%,44.43MiB / 7.654GiB,0.57%
project-01-graphql-service-1,0.00%,210.2MiB / 7.654GiB,2.68%
project-01-grpc-service-1,0.00%,657.8MiB / 7.654GiB,8.39%
project-01-rest-service-1,0.11%,101MiB / 7.654GiB,1.29%
project-01-db-1,0.17%,44.43MiB / 7.654GiB,0.57%
project-01-graphql-service-1,0.00%,210.2MiB / 7.654GiB,2.68%
project-01-grpc-service-1,0.00%,657.8MiB / 7.654GiB,8.39%
project-01-rest-service-1,0.15%,101MiB / 7.654GiB,1.29%
project-01-db-1,2.36%,44.44MiB / 7.654GiB,0.57%
project-01-graphql-service-1,0.00%,210.2MiB / 7.654GiB,2.68%
project-01-grpc-service-1,0.00%,657.8MiB / 7.654GiB,8.39%
project-01-rest-service-1,0.05%,101MiB / 7.654GiB,1.29%
project-01-db-1,0.05%,44.43MiB / 7.654GiB,0.57%
project-01-graphql-service-1,0.00%,210.2MiB / 7.654GiB,2.68%
project-01-grpc-service-1,0.00%,657.8MiB / 7.654GiB,8.39%
project-01-rest-service-1,0.04%,101MiB / 7.654GiB,1.29%
project-01-db-1,0.00%,44.44MiB / 7.654GiB,0.57%
project-01-graphql-service-1,8.89%,210.2MiB / 7.654GiB,2.68%
project-01-grpc-service-1,2.29%,658MiB / 7.654GiB,8.40%
project-01-rest-service-1,3.75%,101MiB / 7.654GiB,1.29%
project-01-db-1,2.76%,46.11MiB / 7.654GiB,0.59%
project-01-graphql-service-1,7.59%,210.3MiB / 7.654GiB,2.68%
project-01-grpc-service-1,3.08%,657.9MiB / 7.654GiB,8.39%
project-01-rest-service-1,3.60%,101MiB / 7.654GiB,1.29%
project-01-db-1,2.85%,47.77MiB / 7.654GiB,0.61%
project-01-graphql-service-1,8.57%,210.6MiB / 7.654GiB,2.69%
project-01-grpc-service-1,13.85%,658MiB / 7.654GiB,8.40%
project-01-rest-service-1,3.51%,101.8MiB / 7.654GiB,1.30%
project-01-db-1,9.87%,51.09MiB / 7.654GiB,0.65%
project-01-graphql-service-1,9.36%,214.1MiB / 7.654GiB,2.73%
project-01-grpc-service-1,6.78%,658.2MiB / 7.654GiB,8.40%
project-01-rest-service-1,4.51%,101MiB / 7.654GiB,1.29%
project-01-db-1,12.12%,54.46MiB / 7.654GiB,0.69%
project-01-graphql-service-1,15.23%,215MiB / 7.654GiB,2.74%
project-01-grpc-service-1,10.66%,658.5MiB / 7.654GiB,8.40%
project-01-rest-service-1,5.42%,101.1MiB / 7.654GiB,1.29%
project-01-db-1,11.95%,57.41MiB / 7.654GiB,0.73%
project-01-graphql-service-1,14.54%,221.7MiB / 7.654GiB,2.83%
project-01-grpc-service-1,10.09%,658.8MiB / 7.654GiB,8.41%
project-01-rest-service-1,6.21%,101.1MiB / 7.654GiB,1.29%
project-01-db-1,21.33%,60.77MiB / 7.654GiB,0.78%
project-01-graphql-service-1,9.68%,222.6MiB / 7.654GiB,2.84%
project-01-grpc-service-1,10.40%,660MiB / 7.654GiB,8.42%
project-01-rest-service-1,6.22%,101.1MiB / 7.654GiB,1.29%
project-01-db-1,18.02%,62.54MiB / 7.654GiB,0.80%
project-01-graphql-service-1,9.65%,223.7MiB / 7.654GiB,2.85%
project-01-grpc-service-1,11.35%,659.7MiB / 7.654GiB,8.42%
project-01-rest-service-1,6.79%,101.1MiB / 7.654GiB,1.29%
project-01-db-1,21.35%,62.63MiB / 7.654GiB,0.80%
project-01-graphql-service-1,11.28%,235.5MiB / 7.654GiB,3.00%
project-01-grpc-service-1,16.98%,660.3MiB / 7.654GiB,8.43%
project-01-rest-service-1,8.99%,101.1MiB / 7.654GiB,1.29%
project-01-db-1,12.86%,66.07MiB / 7.654GiB,0.84%
project-01-graphql-service-1,26.72%,237.9MiB / 7.654GiB,3.04%
project-01-grpc-service-1,26.23%,661.2MiB / 7.654GiB,8.44%
project-01-rest-service-1,18.92%,105MiB / 7.654GiB,1.34%
project-01-db-1,91.80%,102.1MiB / 7.654GiB,1.30%
project-01-graphql-service-1,22.18%,239.3MiB / 7.654GiB,3.05%
project-01-grpc-service-1,24.82%,670.9MiB / 7.654GiB,8.56%
project-01-rest-service-1,18.46%,105MiB / 7.654GiB,1.34%
project-01-db-1,42.47%,105.5MiB / 7.654GiB,1.35%
project-01-graphql-service-1,25.29%,240MiB / 7.654GiB,3.06%
project-01-grpc-service-1,28.25%,676.8MiB / 7.654GiB,8.64%
project-01-rest-service-1,22.82%,105.4MiB / 7.654GiB,1.34%
project-01-db-1,46.77%,105.5MiB / 7.654GiB,1.35%
project-01-graphql-service-1,108.17%,247.3MiB / 7.654GiB,3.15%
project-01-grpc-service-1,36.20%,678.2MiB / 7.654GiB,8.65%
project-01-rest-service-1,23.40%,109.2MiB / 7.654GiB,1.39%
project-01-db-1,78.72%,103.8MiB / 7.654GiB,1.32%
project-01-graphql-service-1,38.63%,247.4MiB / 7.654GiB,3.16%
project-01-grpc-service-1,44.09%,681.8MiB / 7.654GiB,8.70%
project-01-rest-service-1,34.31%,106MiB / 7.654GiB,1.35%
project-01-db-1,78.29%,120.8MiB / 7.654GiB,1.54%
project-01-graphql-service-1,46.41%,250.8MiB / 7.654GiB,3.20%
project-01-grpc-service-1,105.28%,685.6MiB / 7.654GiB,8.75%
project-01-rest-service-1,35.14%,101.7MiB / 7.654GiB,1.30%
project-01-db-1,147.34%,154.5MiB / 7.654GiB,1.97%
project-01-graphql-service-1,42.15%,259.5MiB / 7.654GiB,3.31%
project-01-grpc-service-1,62.94%,687.9MiB / 7.654GiB,8.78%
project-01-rest-service-1,27.58%,102.6MiB / 7.654GiB,1.31%
project-01-db-1,182.86%,145.9MiB / 7.654GiB,1.86%
project-01-graphql-service-1,0.56%,265.7MiB / 7.654GiB,3.39%
project-01-grpc-service-1,0.00%,703.3MiB / 7.654GiB,8.97%
project-01-rest-service-1,0.46%,97.79MiB / 7.654GiB,1.25%
project-01-db-1,2.27%,147MiB / 7.654GiB,1.88%
project-01-graphql-service-1,3.81%,265.7MiB / 7.654GiB,3.39%
project-01-grpc-service-1,0.00%,703.3MiB / 7.654GiB,8.97%
project-01-rest-service-1,0.24%,97.8MiB / 7.654GiB,1.25%
project-01-db-1,0.43%,146.3MiB / 7.654GiB,1.87%
project-01-graphql-service-1,1.25%,265.7MiB / 7.654GiB,3.39%
project-01-grpc-service-1,0.00%,703.3MiB / 7.654GiB,8.97%
project-01-rest-service-1,0.34%,97.81MiB / 7.654GiB,1.25%
project-01-db-1,1.65%,146.2MiB / 7.654GiB,1.87%
project-01-graphql-service-1,19.75%,265.7MiB / 7.654GiB,3.39%
project-01-grpc-service-1,0.00%,703.3MiB / 7.654GiB,8.97%
project-01-rest-service-1,0.46%,98.32MiB / 7.654GiB,1.25%
project-01-db-1,1.06%,146.4MiB / 7.654GiB,1.87%
project-01-graphql-service-1,0.96%,266.3MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,703.2MiB / 7.654GiB,8.97%
project-01-rest-service-1,0.83%,97.83MiB / 7.654GiB,1.25%
project-01-db-1,1.87%,146.2MiB / 7.654GiB,1.87%
project-01-graphql-service-1,0.95%,266.6MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,703.2MiB / 7.654GiB,8.97%
project-01-rest-service-1,0.70%,97.77MiB / 7.654GiB,1.25%
project-01-db-1,2.60%,146.2MiB / 7.654GiB,1.87%
project-01-graphql-service-1,1.11%,266.4MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,703.2MiB / 7.654GiB,8.97%
project-01-rest-service-1,0.86%,97.71MiB / 7.654GiB,1.25%
project-01-db-1,1.07%,143.1MiB / 7.654GiB,1.83%
project-01-graphql-service-1,3.06%,266.4MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,703.1MiB / 7.654GiB,8.97%
project-01-rest-service-1,1.26%,98.24MiB / 7.654GiB,1.25%
project-01-db-1,6.98%,90.96MiB / 7.654GiB,1.16%
project-01-graphql-service-1,8.95%,266.4MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,703.1MiB / 7.654GiB,8.97%
project-01-rest-service-1,7.43%,98.04MiB / 7.654GiB,1.25%
project-01-db-1,2.14%,90.95MiB / 7.654GiB,1.16%
project-01-graphql-service-1,2.20%,266.4MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,703.1MiB / 7.654GiB,8.97%
project-01-rest-service-1,1.57%,97.83MiB / 7.654GiB,1.25%
project-01-db-1,1.27%,90.95MiB / 7.654GiB,1.16%
project-01-graphql-service-1,5.09%,266.3MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,703MiB / 7.654GiB,8.97%
project-01-rest-service-1,1.52%,98.37MiB / 7.654GiB,1.26%
project-01-db-1,1.06%,90.96MiB / 7.654GiB,1.16%
project-01-graphql-service-1,3.06%,266.3MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702.8MiB / 7.654GiB,8.97%
project-01-rest-service-1,1.35%,97.91MiB / 7.654GiB,1.25%
project-01-db-1,3.92%,91.04MiB / 7.654GiB,1.16%
project-01-graphql-service-1,1.56%,266.4MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702.7MiB / 7.654GiB,8.97%
project-01-rest-service-1,1.45%,98.22MiB / 7.654GiB,1.25%
project-01-db-1,1.02%,90.96MiB / 7.654GiB,1.16%
project-01-graphql-service-1,3.07%,266.4MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702.5MiB / 7.654GiB,8.96%
project-01-rest-service-1,2.06%,98.01MiB / 7.654GiB,1.25%
project-01-db-1,1.06%,90.97MiB / 7.654GiB,1.16%
project-01-graphql-service-1,3.31%,266.4MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702.3MiB / 7.654GiB,8.96%
project-01-rest-service-1,1.35%,98.05MiB / 7.654GiB,1.25%
project-01-db-1,1.02%,90.98MiB / 7.654GiB,1.16%
project-01-graphql-service-1,1.77%,267MiB / 7.654GiB,3.41%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,1.27%,98.12MiB / 7.654GiB,1.25%
project-01-db-1,0.85%,127MiB / 7.654GiB,1.62%
project-01-graphql-service-1,3.81%,266.4MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,1.65%,98.15MiB / 7.654GiB,1.25%
project-01-db-1,2.29%,127MiB / 7.654GiB,1.62%
project-01-graphql-service-1,2.82%,267.4MiB / 7.654GiB,3.41%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,1.54%,98.2MiB / 7.654GiB,1.25%
project-01-db-1,2.25%,127MiB / 7.654GiB,1.62%
project-01-graphql-service-1,4.19%,266.9MiB / 7.654GiB,3.41%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,1.57%,98.24MiB / 7.654GiB,1.25%
project-01-db-1,1.79%,127MiB / 7.654GiB,1.62%
project-01-graphql-service-1,3.37%,266.9MiB / 7.654GiB,3.41%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,1.34%,98.28MiB / 7.654GiB,1.25%
project-01-db-1,1.05%,127MiB / 7.654GiB,1.62%
project-01-graphql-service-1,2.44%,266.9MiB / 7.654GiB,3.41%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,1.41%,98.3MiB / 7.654GiB,1.25%
project-01-db-1,2.22%,127.1MiB / 7.654GiB,1.62%
project-01-graphql-service-1,1.91%,266.9MiB / 7.654GiB,3.41%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,4.26%,98.36MiB / 7.654GiB,1.26%
project-01-db-1,1.94%,127.3MiB / 7.654GiB,1.62%
project-01-graphql-service-1,2.91%,266.8MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,4.00%,98.36MiB / 7.654GiB,1.26%
project-01-db-1,0.91%,92.68MiB / 7.654GiB,1.18%
project-01-graphql-service-1,1.77%,266.9MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,1.01%,98.36MiB / 7.654GiB,1.26%
project-01-db-1,1.52%,92.91MiB / 7.654GiB,1.19%
project-01-graphql-service-1,0.97%,266.8MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,0.13%,98.36MiB / 7.654GiB,1.26%
project-01-db-1,0.03%,92.66MiB / 7.654GiB,1.18%
project-01-graphql-service-1,0.00%,266.8MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,0.19%,98.34MiB / 7.654GiB,1.25%
project-01-db-1,1.39%,93.25MiB / 7.654GiB,1.19%
project-01-graphql-service-1,0.00%,266.8MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,0.04%,98.34MiB / 7.654GiB,1.25%
project-01-db-1,0.13%,92.66MiB / 7.654GiB,1.18%
project-01-graphql-service-1,0.04%,266.8MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,0.21%,98.34MiB / 7.654GiB,1.25%
project-01-db-1,0.00%,92.66MiB / 7.654GiB,1.18%
project-01-graphql-service-1,0.00%,266.8MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,0.13%,98.34MiB / 7.654GiB,1.25%
project-01-db-1,0.00%,92.66MiB / 7.654GiB,1.18%
project-01-graphql-service-1,0.00%,266.8MiB / 7.654GiB,3.40%
project-01-grpc-service-1,3.41%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,0.25%,98.29MiB / 7.654GiB,1.25%
project-01-db-1,0.00%,92.66MiB / 7.654GiB,1.18%
project-01-graphql-service-1,0.00%,266.8MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,0.11%,98.29MiB / 7.654GiB,1.25%
project-01-db-1,1.19%,91.02MiB / 7.654GiB,1.16%
project-01-graphql-service-1,0.00%,266.8MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,702MiB / 7.654GiB,8.96%
project-01-rest-service-1,0.24%,98.29MiB / 7.654GiB,1.25%
project-01-db-1,0.02%,89.35MiB / 7.654GiB,1.14%
project-01-graphql-service-1,0.00%,266.8MiB / 7.654GiB,3.40%
project-01-grpc-service-1,0.00%,686.7MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.13%,97.68MiB / 7.654GiB,1.25%
project-01-db-1,0.00%,89.35MiB / 7.654GiB,1.14%
--,--,-- / --,--
--,--,-- / --,--
--,--,-- / --,--
--,--,-- / --,--
--,--,-- / --,--
--,--,-- / --,--
--,--,-- / --,--
--,--,-- / --,--
--,--,-- / --,--
--,--,-- / --,--
--,--,-- / --,--
--,--,-- / --,--
project-01-graphql-service-1,112.61%,512.8MiB / 7.654GiB,6.54%
project-01-grpc-service-1,0.00%,686.6MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.11%,97.39MiB / 7.654GiB,1.24%
project-01-db-1,7.14%,50.4MiB / 7.654GiB,0.64%
project-01-graphql-service-1,118.83%,828.4MiB / 7.654GiB,10.57%
project-01-grpc-service-1,0.19%,686.6MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.23%,97.41MiB / 7.654GiB,1.24%
project-01-db-1,13.28%,50.14MiB / 7.654GiB,0.64%
project-01-graphql-service-1,115.43%,911.1MiB / 7.654GiB,11.62%
project-01-grpc-service-1,0.47%,686.6MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.33%,97.39MiB / 7.654GiB,1.24%
project-01-db-1,11.56%,52.54MiB / 7.654GiB,0.67%
project-01-graphql-service-1,126.59%,968.6MiB / 7.654GiB,12.36%
project-01-grpc-service-1,2.63%,686.7MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.48%,97.4MiB / 7.654GiB,1.24%
project-01-db-1,31.37%,61.25MiB / 7.654GiB,0.78%
project-01-graphql-service-1,120.41%,1.092GiB / 7.654GiB,14.27%
project-01-grpc-service-1,0.46%,686.7MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.49%,97.43MiB / 7.654GiB,1.24%
project-01-db-1,7.83%,62.33MiB / 7.654GiB,0.80%
project-01-graphql-service-1,134.45%,1.133GiB / 7.654GiB,14.81%
project-01-grpc-service-1,0.15%,686.7MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.15%,97.43MiB / 7.654GiB,1.24%
project-01-db-1,18.59%,64.91MiB / 7.654GiB,0.83%
project-01-graphql-service-1,115.97%,1.21GiB / 7.654GiB,15.82%
project-01-grpc-service-1,0.70%,686.7MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.53%,97.94MiB / 7.654GiB,1.25%
project-01-db-1,16.42%,63.87MiB / 7.654GiB,0.81%
project-01-graphql-service-1,110.94%,1.275GiB / 7.654GiB,16.66%
project-01-grpc-service-1,0.00%,686.7MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.16%,97.45MiB / 7.654GiB,1.24%
project-01-db-1,2.60%,65.22MiB / 7.654GiB,0.83%
project-01-graphql-service-1,118.79%,1.199GiB / 7.654GiB,15.66%
project-01-grpc-service-1,0.30%,686.7MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.34%,97.46MiB / 7.654GiB,1.24%
project-01-db-1,11.27%,72.57MiB / 7.654GiB,0.93%
project-01-graphql-service-1,111.95%,1.274GiB / 7.654GiB,16.64%
project-01-grpc-service-1,0.14%,686.7MiB / 7.654GiB,8.76%
project-01-rest-service-1,1.09%,97.47MiB / 7.654GiB,1.24%
project-01-db-1,3.02%,68.93MiB / 7.654GiB,0.88%
project-01-graphql-service-1,112.70%,1.328GiB / 7.654GiB,17.35%
project-01-grpc-service-1,0.01%,686.8MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.33%,97.52MiB / 7.654GiB,1.24%
project-01-db-1,7.75%,79.28MiB / 7.654GiB,1.01%
project-01-graphql-service-1,112.44%,1.242GiB / 7.654GiB,16.23%
project-01-grpc-service-1,0.00%,686.8MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.22%,97.53MiB / 7.654GiB,1.24%
project-01-db-1,8.34%,83.3MiB / 7.654GiB,1.06%
project-01-graphql-service-1,110.71%,1.312GiB / 7.654GiB,17.15%
project-01-grpc-service-1,0.20%,686.8MiB / 7.654GiB,8.76%
project-01-rest-service-1,0.51%,97.53MiB / 7.654GiB,1.24%
project-01-db-1,1.22%,91.19MiB / 7.654GiB,1.16%
project-01-graphql-service-1,338.87%,1.212GiB / 7.654GiB,15.83%
project-01-grpc-service-1,0.51%,668.3MiB / 7.654GiB,8.53%
project-01-rest-service-1,0.92%,97.61MiB / 7.654GiB,1.25%
project-01-db-1,14.58%,87.1MiB / 7.654GiB,1.11%
project-01-graphql-service-1,116.59%,1.276GiB / 7.654GiB,16.67%
project-01-grpc-service-1,9.18%,668.7MiB / 7.654GiB,8.53%
project-01-rest-service-1,3.21%,97.63MiB / 7.654GiB,1.25%
project-01-db-1,39.80%,76.66MiB / 7.654GiB,0.98%
project-01-graphql-service-1,111.40%,1.338GiB / 7.654GiB,17.48%
project-01-grpc-service-1,0.00%,668.4MiB / 7.654GiB,8.53%
project-01-rest-service-1,0.34%,97.89MiB / 7.654GiB,1.25%
project-01-db-1,9.30%,107.8MiB / 7.654GiB,1.38%
project-01-graphql-service-1,129.72%,1.24GiB / 7.654GiB,16.20%
project-01-grpc-service-1,0.00%,668.5MiB / 7.654GiB,8.53%
project-01-rest-service-1,0.29%,98.09MiB / 7.654GiB,1.25%
project-01-db-1,10.98%,100.8MiB / 7.654GiB,1.29%
